Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit-Logout,Firefox 59.0,,2018-05-10 15:00:51,2018-05-10 15:01:47,56.494s,FAILED
,,,,,,
Test Cases/Test-Logout,Firefox 59.0,,2018-05-10 15:00:51,2018-05-10 15:01:13,21.414s,PASSED
openBrowser,Firefox 59.0,,2018-05-10 15:00:51,2018-05-10 15:00:57,5.787s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 15:00:57,2018-05-10 15:01:10,13.048s,PASSED
setText,Firefox 59.0,,2018-05-10 15:01:10,2018-05-10 15:01:10,0.124s,PASSED
setText,Firefox 59.0,,2018-05-10 15:01:10,2018-05-10 15:01:10,0.067s,PASSED
click,Firefox 59.0,,2018-05-10 15:01:10,2018-05-10 15:01:11,0.584s,PASSED
click,Firefox 59.0,,2018-05-10 15:01:11,2018-05-10 15:01:12,1.264s,PASSED
verifyElementText,Firefox 59.0,,2018-05-10 15:01:12,2018-05-10 15:01:12,0.031s,PASSED
closeBrowser,Firefox 59.0,,2018-05-10 15:01:12,2018-05-10 15:01:13,0.258s,PASSED
,,,,,,
Test Cases/Test-Logout,Firefox 59.0,,2018-05-10 15:01:13,2018-05-10 15:01:47,34.690s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 15:01:13,2018-05-10 15:01:17,4.405s,PASSED
navigateToUrl,Firefox 59.0,,2018-05-10 15:01:17,2018-05-10 15:01:33,15.865s,PASSED
setText,Firefox 59.0,,2018-05-10 15:01:33,2018-05-10 15:01:33,0.081s,PASSED
setText,Firefox 59.0,,2018-05-10 15:01:33,2018-05-10 15:01:33,0.065s,PASSED
click,Firefox 59.0,,2018-05-10 15:01:33,2018-05-10 15:01:33,0.459s,PASSED
click,Firefox 59.0,,2018-05-10 15:01:33,2018-05-10 15:01:47,13.802s,FAILED
,,,,,,
Test Cases/Test-Logout,Firefox 59.0,,2018-05-10 15:01:47,2018-05-10 15:01:47,0.067s,FAILED
openBrowser,Firefox 59.0,,2018-05-10 15:01:47,2018-05-10 15:01:47,0.058s,FAILED
